trainNumber,trainDate,trainSpeed,trainAxle,V1_pks,V2_pks,L1_pks,L2_pks
1,"08-Jul-0019 05:21:51",22.4764083500143,1,9.78635783553098,9.29204853843153,0.0927993118800211,0.972402534156023
1,"08-Jul-0019 05:21:51",22.4764083500143,2,7.37694175217872,8.76445206213948,-0.139198967819978,-0.481838543843979
1,"08-Jul-0019 05:21:51",22.4764083500143,3,7.75162777751673,7.3406339642801,0.32479759158002,1.21477604715602
1,"08-Jul-0019 05:21:51",22.4764083500143,4,8.94166728033667,8.93881724802939,-0.371197247519978,0.487655508156025
1,"08-Jul-0019 05:21:51",22.4764083500143,5,8.34482238080126,8.04846166055982,0.0927993118800211,0.00290848215602609
1,"08-Jul-0019 05:21:51",22.4764083500143,6,9.19965093544267,9.55348266283824,0.0927993118800211,0.245281995156025
1,"08-Jul-0019 05:21:51",22.4764083500143,7,10.3562472034545,8.97250283590781,0.0927993118800211,-0.23946503084398
1,"08-Jul-0019 05:21:51",22.4764083500143,8,8.68012353428226,8.28648766710709,0.0927993118800211,-0.23946503084398
1,"08-Jul-0019 05:21:51",22.4764083500143,9,9.37611926516667,8.67509290255888,0.32479759158002,-0.724212056843978
1,"08-Jul-0019 05:21:51",22.4764083500143,10,11.1427003559102,9.13955071774479,-0.139198967819978,-0.966585569843978
1,"08-Jul-0019 05:21:51",22.4764083500143,11,10.2191674322668,8.74221503411313,-0.371197247519978,-0.724212056843978
1,"08-Jul-0019 05:21:51",22.4764083500143,12,9.49338485688319,7.6282858175487,-0.603195527219977,0.245281995156025
1,"08-Jul-0019 05:21:51",22.4764083500143,13,8.79285335945503,9.79635512781619,-0.371197247519978,-0.23946503084398
1,"08-Jul-0019 05:21:51",22.4764083500143,14,8.53049338070696,8.70941181608388,-0.139198967819978,0.245281995156025
1,"08-Jul-0019 05:21:51",22.4764083500143,15,10.3261451793884,9.75096033551858,0.32479759158002,-0.966585569843978
1,"08-Jul-0019 05:21:51",22.4764083500143,16,9.51669155185627,7.75090551547039,-0.371197247519978,-0.966585569843978
1,"08-Jul-0019 05:21:51",22.4764083500143,17,10.9364006995403,9.42518162179564,0.0927993118800211,-0.481838543843979
1,"08-Jul-0019 05:21:51",22.4764083500143,18,9.5885187722819,9.81983481786432,-0.371197247519978,-0.23946503084398
1,"08-Jul-0019 05:21:51",22.4764083500143,19,10.9450943277616,8.46787812651748,-0.603195527219977,-0.966585569843978
1,"08-Jul-0019 05:21:51",22.4764083500143,20,13.8920106034574,12.6857163994782,-0.371197247519978,0.245281995156025
1,"08-Jul-0019 05:21:51",22.4764083500143,21,8.73715283301187,9.57318965368907,-0.603195527219977,1.21477604715602
1,"08-Jul-0019 05:21:51",22.4764083500143,22,9.86043241132597,8.9327542607476,-0.139198967819978,1.21477604715602
1,"08-Jul-0019 05:21:51",22.4764083500143,23,9.8433603746747,8.2120790188408,-0.835193806919976,-0.23946503084398
1,"08-Jul-0019 05:21:51",22.4764083500143,24,8.44523207842252,9.71467966830594,0.0927993118800211,-0.724212056843978
1,"08-Jul-0019 05:21:51",22.4764083500143,25,10.1640054552608,9.02673961989338,-0.139198967819978,-0.966585569843978
1,"08-Jul-0019 05:21:51",22.4764083500143,26,8.46757637688181,8.84455821401829,0.0927993118800211,0.245281995156025
1,"08-Jul-0019 05:21:51",22.4764083500143,27,9.43565536545501,8.30358361172046,-0.371197247519978,0.730029021156024
1,"08-Jul-0019 05:21:51",22.4764083500143,28,11.5189471823174,8.88379729160618,0.32479759158002,-1.45133259584398
1,"08-Jul-0019 05:21:51",22.4764083500143,29,7.86666669458536,8.93353127406547,-0.139198967819978,0.972402534156023
1,"08-Jul-0019 05:21:51",22.4764083500143,30,8.06904181581738,8.46480523719536,0.32479759158002,0.00290848215602609
1,"08-Jul-0019 05:21:51",22.4764083500143,31,9.09158557877188,7.85119421609861,-0.371197247519978,2.42664361215603
1,"08-Jul-0019 05:21:51",22.4764083500143,32,8.4561100722442,8.82714656347136,-0.139198967819978,0.00290848215602609
